experiment,epoch,target_epochs,elapsed_min,evaluated,best_mAP50-95,stale_epochs,train_loss,class_loss,box_loss,train_batches,mAP50,mAP50-95,P,R,F1,best_conf_threshold
effdet_d0_baseline_512,22,50,28.047029773394268,False,23.571443183398607,0,0.2283131373517307,0.1526601120093722,0.0015130605029781,405,,,,,,
effdet_d0_baseline_512,23,50,24.04588230450948,False,23.571443183398607,0,0.2233309997820559,0.1495520538386003,0.0014755789130167,405,,,,,,
effdet_d0_baseline_512,24,50,27.45478631655375,False,23.571443183398607,0,0.2194042626722359,0.1467998934748732,0.0014520873820098,405,,,,,,
effdet_d0_baseline_512,25,50,31.3699569940567,True,23.993908562038456,0,0.2179173673376625,0.1457116700432918,0.0014441139470027,405,42.18018942921953,23.993908562038456,83.1903459979259,57.45539783826019,67.96841902561141,0.4
effdet_d0_baseline_512,26,50,25.07268414497376,False,23.993908562038456,0,0.2154739142568023,0.1440057971595246,0.0014293623406922,405,,,,,,
effdet_d0_baseline_512,27,50,26.01087152163188,False,23.993908562038456,0,0.2130815726003529,0.142321186006805,0.0014152077362976,405,,,,,,
effdet_d0_baseline_512,28,50,24.173954570293425,False,23.993908562038456,0,0.2112669305668937,0.141314254829913,0.0013990535203907,405,,,,,,
effdet_d0_baseline_512,29,50,32.918649419148764,False,23.993908562038456,0,0.2084028125177195,0.1393676023056477,0.0013807042063512,405,,,,,,
effdet_d0_baseline_512,30,50,43.47240131696065,True,24.469017957782167,0,0.2062543842895531,0.1380177160104115,0.0013647333596672,405,42.74649282912409,24.469017957782167,82.57826887661142,58.393019924469336,68.41101533297736,0.38
effdet_d0_baseline_512,31,50,34.1421169479688,False,24.469017957782167,0,0.2038944376839531,0.1364953776752507,0.0013479812021861,405,,,,,,
effdet_d0_baseline_512,32,50,34.483820990721384,False,24.469017957782167,0,0.2021510256661309,0.1352988664014839,0.0013370431864772,405,,,,,,
effdet_d0_baseline_512,33,50,28.289405779043832,False,24.469017957782167,0,0.198374593257904,0.1326983783164142,0.001313524298732,405,,,,,,
effdet_d0_baseline_512,34,50,25.541820232073466,False,24.469017957782167,0,0.1979947458814691,0.1326717915726296,0.0013064590917992,405,,,,,,
effdet_d0_baseline_512,35,50,37.74979929924011,True,24.469017957782167,5,0.1947405149171381,0.1301764233060825,0.0012912818357164,405,42.411128030389264,24.172903658530625,81.63357809808721,58.63393671050918,68.24813369206868,0.36
effdet_d0_baseline_512,36,50,35.1803200006485,False,24.469017957782167,5,0.1932157036330964,0.1296315907144252,0.0012716822574823,405,,,,,,
effdet_d0_baseline_512,37,50,35.875226521492,False,24.469017957782167,5,0.1911646576943221,0.1281131066657878,0.0012610310164027,405,,,,,,
effdet_d0_baseline_512,38,50,33.48353046178818,False,24.469017957782167,5,0.1893891958910742,0.1267834806515846,0.0012521143095786,405,,,,,,
effdet_d0_baseline_512,39,50,33.66004105011622,False,24.469017957782167,5,0.1870227323638068,0.125036319648778,0.0012397282499601,405,,,,,,
